dem_req_rate	req_rate_wp_with_naxsi.test.nl	con_rate_wp_with_naxsi.test.nl	min_rep_rate_wp_with_naxsi.test.nl	avg_rep_rate_wp_with_naxsi.test.nl	max_rep_rate_wp_with_naxsi.test.nl	stddev_rep_rate_wp_with_naxsi.test.nl	resp_time_wp_with_naxsi.test.nl	net_io_wp_with_naxsi.test.nl	errors_wp_with_naxsi.test.nl
1	1.0	1.0	1.0	1.0	1.0	0.0	59.8	7.3	0
2	2.0	2.0	2.0	2.0	2.0	0.0	59.6	14.5	0
3	3.0	3.0	3.0	3.0	3.0	0.0	59.5	21.7	0
4	4.0	4.0	4.0	4.0	4.0	0.0	59.4	28.9	0
5	5.0	5.0	5.0	5.0	5.0	0.0	59.4	36.1	0
6	6.0	6.0	6.0	6.0	6.0	0.0	59.5	43.3	0
7	7.0	7.0	7.0	7.0	7.0	0.0	59.5	50.5	0
8	8.0	8.0	8.0	8.0	8.0	0.0	59.4	57.7	0
9	9.0	9.0	9.0	9.0	9.0	0.0	59.5	64.9	0
10	10.0	10.0	10.0	10.0	10.0	0.0	59.6	72.1	0
11	11.0	11.0	11.0	11.0	11.0	0.0	59.5	79.3	0
12	12.0	12.0	12.0	12.0	12.0	0.0	59.5	86.4	0
13	13.0	13.0	13.0	13.0	13.0	0.0	59.4	93.6	0
14	14.0	14.0	14.0	14.0	14.0	0.0	59.4	100.8	0
15	15.0	15.0	15.0	15.0	15.0	0.0	59.4	108.0	0
16	16.0	16.0	15.8	16.0	16.2	0.1	59.6	115.2	0
17	17.0	17.0	16.8	17.0	17.0	0.1	59.4	122.4	0
18	18.0	18.0	17.8	18.0	18.0	0.1	59.6	129.6	0
19	19.0	19.0	18.8	19.0	19.0	0.1	59.9	136.8	0
20	20.0	20.0	19.8	20.0	20.0	0.1	60.2	144.0	0
21	21.0	21.0	20.8	21.0	21.0	0.1	59.9	151.2	0
22	22.0	22.0	21.8	22.0	22.0	0.1	59.7	158.4	0
23	23.0	23.0	22.8	23.0	23.0	0.1	60.7	165.6	0
24	24.0	24.0	23.8	24.0	24.0	0.1	60.0	172.8	0
25	25.0	25.0	24.8	25.0	25.0	0.1	59.8	180.0	0
26	26.0	26.0	25.8	26.0	26.0	0.1	60.1	187.2	0
27	27.0	27.0	26.8	27.0	27.0	0.1	61.1	194.4	0
28	28.0	28.0	27.8	28.0	28.2	0.1	61.3	201.5	0
29	29.0	29.0	28.6	29.0	29.2	0.2	61.3	208.7	0
30	30.0	30.0	29.8	30.0	30.2	0.1	61.6	215.9	0
31	31.0	31.0	30.8	31.0	31.0	0.1	61.7	223.1	0
32	32.0	32.0	31.8	32.0	32.2	0.1	61.9	230.3	0
33	33.0	33.0	32.6	33.0	33.0	0.1	61.8	237.5	0
34	34.0	34.0	33.6	34.0	34.0	0.1	61.9	244.7	0
35	35.0	35.0	34.6	35.0	35.0	0.1	61.8	251.9	0
36	36.0	36.0	35.6	36.0	36.0	0.1	61.1	259.1	0
37	37.0	37.0	36.6	37.0	37.0	0.1	61.2	266.3	0
38	38.0	38.0	37.6	38.0	38.0	0.1	61.0	273.5	0
39	39.0	39.0	38.6	39.0	39.0	0.1	60.6	280.7	0
40	40.0	40.0	39.6	40.0	40.0	0.1	60.4	287.9	0
41	41.0	41.0	40.6	41.0	41.0	0.1	60.5	295.1	0
42	42.0	42.0	41.6	42.0	42.0	0.1	60.4	302.3	0
43	43.0	43.0	42.6	43.0	43.0	0.1	60.6	309.5	0
44	44.0	44.0	43.6	44.0	44.0	0.1	61.5	316.7	0
45	45.0	45.0	44.6	45.0	45.2	0.2	61.9	323.8	0
46	46.0	46.0	45.6	46.0	46.2	0.2	61.8	331.0	0
47	47.0	47.0	46.6	47.0	47.2	0.2	61.8	338.2	0
48	48.0	48.0	47.4	48.0	48.2	0.2	61.7	345.4	0
49	49.0	49.0	48.4	49.0	49.0	0.2	61.7	352.6	0
50	50.0	50.0	49.4	50.0	50.0	0.2	62.4	359.8	0
51	51.0	51.0	50.4	51.0	51.0	0.2	61.9	367.0	0
52	52.0	52.0	51.4	52.0	52.0	0.2	61.9	374.2	0
53	53.0	53.0	52.4	53.0	53.0	0.2	61.9	381.4	0
54	54.0	54.0	53.4	54.0	54.0	0.2	61.9	388.6	0
55	55.0	55.0	54.4	55.0	55.0	0.2	62.0	395.8	0
56	56.0	56.0	55.4	56.0	56.0	0.2	61.8	403.0	0
57	57.0	57.0	56.4	57.0	57.0	0.2	61.6	410.2	0
58	58.0	58.0	57.4	58.0	58.0	0.2	61.3	417.4	0
59	59.0	59.0	58.4	59.0	59.0	0.2	61.5	424.6	0
60	60.0	60.0	59.4	60.0	60.0	0.2	61.5	431.8	0
61	61.0	61.0	60.4	61.0	61.2	0.2	61.5	438.9	0
62	62.0	62.0	61.4	61.9	62.0	0.2	61.5	446.1	0
63	63.0	63.0	62.4	62.9	63.2	0.2	61.6	453.3	0
64	64.0	64.0	63.4	63.9	64.2	0.2	62.9	460.5	0
65	65.0	65.0	64.2	64.9	65.0	0.2	63.5	467.7	0
66	65.9	65.9	65.2	65.9	66.0	0.2	63.7	474.9	0
67	66.9	66.9	66.2	66.9	67.0	0.2	64.0	482.1	0
68	67.9	67.9	67.2	67.9	68.0	0.2	63.8	489.2	0
69	68.9	68.9	68.2	68.9	69.0	0.2	63.7	496.5	0
70	69.9	69.9	69.2	69.9	70.0	0.2	63.5	503.7	0
