dem_req_rate	req_rate_wp_without_naxsi.test.nl	con_rate_wp_without_naxsi.test.nl	min_rep_rate_wp_without_naxsi.test.nl	avg_rep_rate_wp_without_naxsi.test.nl	max_rep_rate_wp_without_naxsi.test.nl	stddev_rep_rate_wp_without_naxsi.test.nl	resp_time_wp_without_naxsi.test.nl	net_io_wp_without_naxsi.test.nl	errors_wp_without_naxsi.test.nl
1	1.0	1.0	1.0	1.0	1.0	0.0	29.2	0.4	0
2	2.0	2.0	2.0	2.0	2.0	0.0	28.6	0.8	0
3	3.0	3.0	3.0	3.0	3.0	0.0	28.4	1.2	0
4	4.0	4.0	4.0	4.0	4.0	0.0	28.4	1.6	0
5	5.0	5.0	5.0	5.0	5.0	0.0	29.7	2.0	0
6	6.0	6.0	6.0	6.0	6.0	0.0	28.3	2.4	0
7	7.0	7.0	7.0	7.0	7.0	0.0	28.8	2.8	0
8	8.0	8.0	8.0	8.0	8.0	0.0	28.6	3.2	0
9	9.0	9.0	9.0	9.0	9.0	0.0	28.5	3.6	0
10	10.0	10.0	10.0	10.0	10.0	0.0	28.3	4.0	0
11	11.0	11.0	11.0	11.0	11.0	0.0	28.4	4.4	0
12	12.0	12.0	7.0	12.0	16.4	2.1	253.4	4.8	0.278551532033426
13	13.0	13.0	13.0	13.0	13.0	0.0	28.3	5.2	0
14	14.0	14.0	14.0	14.0	14.0	0.0	28.2	5.6	0
15	15.0	15.0	15.0	15.0	15.0	0.0	28.3	6.0	0
16	16.0	16.0	16.0	16.0	16.0	0.0	28.6	6.4	0
17	17.0	17.0	17.0	17.0	17.0	0.0	28.2	6.8	0
18	18.0	18.0	18.0	18.0	18.0	0.0	28.3	7.2	0
19	19.0	19.0	19.0	19.0	19.0	0.0	28.3	7.6	0
20	20.0	20.0	20.0	20.0	20.0	0.0	28.3	8.0	0
21	21.0	21.0	21.0	21.0	21.0	0.0	28.3	8.3	0
22	22.0	22.0	22.0	22.0	22.0	0.0	28.2	8.7	0
23	23.0	23.0	23.0	23.0	23.0	0.0	28.3	9.1	0
24	24.0	24.0	24.0	24.0	24.0	0.0	28.2	9.5	0
25	25.0	25.0	25.0	25.0	25.0	0.0	28.2	9.9	0
26	26.0	26.0	26.0	26.0	26.0	0.0	28.2	10.3	0
27	27.0	27.0	27.0	27.0	27.0	0.0	28.2	10.7	0
28	28.0	28.0	28.0	28.0	28.0	0.0	28.2	11.1	0
29	29.0	29.0	29.0	29.0	29.0	0.0	28.2	11.5	0
30	30.0	30.0	30.0	30.0	30.0	0.0	28.1	11.9	0
31	31.0	31.0	30.8	31.0	31.0	0.1	28.2	12.3	0
32	32.0	32.0	31.8	32.0	32.0	0.1	28.2	12.7	0
33	33.0	33.0	32.8	33.0	33.2	0.1	28.2	13.1	0
34	34.0	34.0	33.8	34.0	34.2	0.1	28.2	13.5	0
35	35.0	35.0	34.8	35.0	35.2	0.1	28.1	13.9	0
36	36.0	36.0	35.8	36.0	36.0	0.1	28.2	14.3	0
