dem_req_rate	req_rate_200_without_naxsi.test.nl	con_rate_200_without_naxsi.test.nl	min_rep_rate_200_without_naxsi.test.nl	avg_rep_rate_200_without_naxsi.test.nl	max_rep_rate_200_without_naxsi.test.nl	stddev_rep_rate_200_without_naxsi.test.nl	resp_time_200_without_naxsi.test.nl	net_io_200_without_naxsi.test.nl	errors_200_without_naxsi.test.nl
1	1.1	1.1	1.0	1.0	1.0	0.0	0.3	0.3	0
101	101.1	101.1	101.0	101.0	101.0	0.0	0.3	24.4	0
201	201.1	201.1	201.0	201.0	201.0	0.0	0.2	48.5	0
301	301.0	301.0	301.0	301.0	301.0	0.0	0.3	72.6	0
401	401.1	401.1	401.0	401.0	401.0	0.0	0.2	96.7	0
501	501.0	501.0	501.0	501.0	501.0	0.0	0.2	120.9	0
601	601.0	601.0	601.0	601.0	601.0	0.0	0.2	145.0	0
701	701.0	701.0	701.0	701.0	701.0	0.0	0.2	169.1	0
801	81.9	213.9	79.2	79.2	79.2	0.0	16.3	19.7	412.148337595908
901	72.8	269.6	0.0	85.3	170.5	120.6	0.2	17.6	932.073310423826
